date,state,positive,negative,death,dataQualityGrade,totalTestResults,new_negatives,new_positives,new_tests,ratio_new_positives
20200524,IN,31376,189425,1976,A+,220801,5393,475,5868,0.080947512
20200524,KS,8958,67476,185,A+,76434,0,0,0,0
20200524,KY,8571,161285,391,A,169856,-1748,145,-1603,-0.090455396
20200524,LA,37169,278867,2690,B,316036,1460,129,1589,0.081183134
20200524,MA,92675,439698,6372,A,532373,10374,1013,11387,0.088961096
20200524,MD,46313,194049,2277,B,240362,7217,818,8035,0.101804605
20200524,ME,2055,35450,78,B,37505,0,42,42,1
20200524,MI,54679,396553,5228,A+,451232,0,314,314,1
20200524,MN,20573,177391,878,A,197964,7743,728,8471,0.085940267
20200524,MO,11988,139631,681,B,151619,3079,236,3315,0.071191554
20200524,MP,22,4735,2,D,4757,439,0,439,0
20200524,MS,13252,124650,625,A,137902,3435,247,3682,0.067083107
20200524,MT,479,32902,16,C,33381,729,0,729,0
20200524,NC,23222,313434,744,A,336656,6577,497,7074,0.07025728
20200524,ND,2418,63070,53,C,65488,1287,53,1340,0.039552239
20200524,NE,11989,71216,147,D,83205,2896,327,3223,0.101458269
20200524,NH,4089,55450,208,B,59539,0,0,0,0
20200524,NJ,154154,449653,11133,A+,603807,24022,1050,25072,0.041879387
20200524,NM,6795,162324,308,C,169119,10566,170,10736,0.015834575
20200524,NV,7770,102511,392,A+,110281,3160,74,3234,0.02288188
20200524,NY,361515,1338311,23391,A,1699826,46176,1589,47765,0.033267037
20200524,OH,31911,292642,1969,B,324553,7556,503,8059,0.062414692
20200524,OK,6037,154943,311,A+,160980,0,77,77,1
20200524,OR,3927,108268,148,A+,112195,1949,39,1988,0.019617706
20200524,PA,67713,328382,5124,A,396095,6913,730,7643,0.095512233
20200524,PR,3189,0,127,B,3189,0,89,89,1
20200524,RI,14065,118636,608,A+,132701,2456,113,2569,0.043985987
20200524,SC,10096,153851,435,A+,163947,4836,201,5037,0.039904705
20200524,SD,4563,30342,50,C,34905,1282,95,1377,0.068990559
20200524,TN,20145,363431,336,B,383576,9462,356,9818,0.036259931
20200524,TX,55348,708197,1506,B,763545,0,839,839,1
20200524,UT,8392,186041,97,B,194433,3522,132,3654,0.036124795
20200524,VA,36244,207841,1171,A+,244085,11120,495,11615,0.042617305
20200524,VI,69,1343,6,C,1412,0,0,0,0
20200524,VT,956,27634,54,B,28590,1164,2,1166,0.001715266
20200524,WA,19585,296691,1055,B,316276,7598,320,7918,0.040414246
20200524,WI,15277,186206,510,A+,201483,6877,400,7277,0.054967706
20200524,WV,1759,83935,72,B,85694,1908,42,1950,0.021538462
20200524,WY,813,19221,12,C,20034,0,0,0,0
20200523,AK,408,41943,10,C,42351,901,4,905,0.00441989
20200523,AL,13938,168738,546,B,182676,4533,375,4908,0.076405868
20200523,AR,5612,97435,113,A,103047,0,0,0,0
20200523,AS,0,124,0,C,124,0,0,0,0
20200523,AZ,16039,164400,799,A+,180439,4005,431,4436,0.097159603
20200523,CA,90631,1424675,3708,B,1515306,46346,2187,48533,0.045062123
20200523,CO,23487,121465,1324,A,144952,2431,296,2727,0.108544188
20200523,CT,40022,168345,3675,B,208367,5657,382,6039,0.063255506
20200523,DC,7966,44025,427,A+,51991,8925,73,8998,0.008112914
20200523,DE,8690,41844,324,B,50534,1387,161,1548,0.104005168
20200523,FL,50127,806310,2312,A,856437,20265,676,20941,0.032281171
20200523,GA,42132,411405,1811,A,453537,25374,914,26288,0.034768716
20200523,GU,165,5194,5,C,5359,80,0,80,0
20200523,HI,642,48179,17,C,48821,841,-5,836,-0.005980861
20200523,IA,16893,107048,444,A+,123941,3302,389,3691,0.105391493
20200523,ID,2595,38014,79,A,40609,953,61,1014,0.060157791
20200523,IL,107796,614451,4790,A,722247,22762,2352,25114,0.093652943
20200523,IN,30901,184032,1943,A+,214933,5880,492,6372,0.077212806
20200523,KS,8958,67476,185,A+,76434,0,0,0,0
20200523,KY,8426,163033,391,A,171459,5079,140,5219,0.026825062
20200523,LA,37040,277407,2668,B,314447,2524,115,2639,0.043577113
20200523,MA,91662,429324,6304,A,520986,8569,773,9342,0.082744594
20200523,MD,45495,186832,2243,B,232327,3354,1071,4425,0.242033898
20200523,ME,2013,35450,77,B,37463,0,65,65,1
20200523,MI,54365,396553,5223,A+,450918,-21318,452,-20866,-0.021662034
20200523,MN,19845,169648,861,A,189493,7682,840,8522,0.098568411
20200523,MO,11752,136552,676,B,148304,-24836,194,-24642,-0.007872738
20200523,MP,22,4296,2,D,4318,0,0,0,0
20200523,MS,13005,121215,616,A,134220,-4134,381,-3753,-0.101518785
20200523,MT,479,32173,16,C,32652,795,0,795,0
20200523,NC,22725,306857,737,A,329582,25251,1107,26358,0.041998634
20200523,ND,2365,61783,52,C,64148,1270,48,1318,0.036418816
20200523,NE,11662,68320,147,D,79982,1326,237,1563,0.151631478
20200523,NH,4089,55450,208,B,59539,4285,154,4439,0.034692498
20200523,NJ,153104,425631,11081,A+,578735,23036,385,23421,0.016438239
20200523,NM,6625,151758,302,C,158383,5463,153,5616,0.02724359
20200523,NV,7696,99351,388,A+,107047,6811,295,7106,0.041514213
20200523,NY,359926,1292135,23282,A,1652061,49496,1772,51268,0.03456347
20200523,OH,31408,285086,1956,B,316494,8080,614,8694,0.070623418
20200523,OK,5960,154943,311,A+,160903,7625,111,7736,0.014348501
20200523,OR,3888,106319,147,A+,110207,2344,24,2368,0.010135135
